ID,NOMBRE,HSTRABAJADAS,SUELDO
693,Baxy,120,20000.000000
694,Terrie,75,42000.000000
695,Justino,220,18000.000000
696,Erhard,75,33000.000000
697,Robbie,120,30000.000000
698,Paddie,90,33000.000000
699,Evelyn,75,10000.000000
700,Abbot,90,33000.000000
701,Tedra,90,33000.000000
702,Rikki,90,12000.000000
703,Alverta,90,25000.000000
704,Pauly,120,30000.000000
705,Ariella,60,12000.000000
706,Lia,120,20000.000000
707,Petronille,75,42000.000000
708,Merle,325,10000.000000
709,Hagan,120,50000.000000
710,Nikolaus,88,30000.000000
711,Cinda,120,42000.000000
712,Matelda,120,18000.000000
713,Roslyn,120,25000.000000
714,Jerrylee,180,10000.000000
715,Lucky,325,42000.000000
716,Elita,90,18000.000000
717,Hyacinthia,90,25000.000000
718,Fina,220,42000.000000
719,Kamila,88,42000.000000
720,Jennie,88,42000.000000
721,Riobard,180,42000.000000
722,Joannes,325,10000.000000
723,Darlene,180,42000.000000
724,Zia,75,42000.000000
725,Cristina,90,15000.000000
726,Jonathon,220,50000.000000
727,Rickie,220,42000.000000
728,Klara,180,50000.000000
729,Osbert,75,33000.000000
730,Emmet,90,37000.000000
731,Cassandry,60,33000.000000
732,Enrica,325,18000.000000
733,Evvy,75,42000.000000
734,Silas,180,20000.000000
735,Kaia,180,25000.000000
736,Arvie,325,15000.000000
737,Keith,180,20000.000000
738,Silvie,120,12000.000000
739,Winnifred,75,10000.000000
740,Chen,325,37000.000000
741,Carleton,75,15000.000000
742,Silvano,220,12000.000000
743,Pancho,88,18000.000000
744,Melonie,90,33000.000000
745,Gordon,325,12000.000000
746,Rosemarie,75,10000.000000
747,Graehme,90,18000.000000
748,Mitchael,90,33000.000000
749,Carola,325,10000.000000
750,Zsa zsa,180,20000.000000
751,Jude,180,12000.000000
752,Arch,180,33000.000000
753,Andrej,88,50000.000000
754,Amber,325,42000.000000
755,Dorian,325,15000.000000
756,Kaitlynn,88,15000.000000
757,Kerianne,220,37000.000000
758,Boycie,88,18000.000000
759,Nanete,90,37000.000000
760,Sidonia,120,10000.000000
761,Galvan,120,33000.000000
762,Lucienne,75,25000.000000
763,Davidson,75,37000.000000
764,Roslyn,180,10000.000000
765,Jenny,180,33000.000000
766,Toby,88,20000.000000
767,Brynne,325,18000.000000
768,Blakeley,325,18000.000000
769,Egan,325,10000.000000
770,Barbey,325,20000.000000
771,Portia,60,33000.000000
772,Alica,60,37000.000000
773,Juliana,180,50000.000000
774,Barde,88,18000.000000
775,Wilie,90,30000.000000
776,Letta,220,10000.000000
777,Ree,90,42000.000000
778,Ingmar,75,18000.000000
779,Melva,120,42000.000000
780,Tootsie,88,25000.000000
781,Felike,75,33000.000000
782,Laughton,325,15000.000000
783,Crosby,60,12000.000000
784,Marianne,60,33000.000000
785,Francine,120,42000.000000
786,Edan,60,50000.000000
787,Fayre,120,18000.000000
788,Adelaida,180,37000.000000
789,Florella,220,25000.000000
790,Noll,120,30000.000000
791,Ki,60,42000.000000
792,Jermayne,75,33000.000000
793,Grayce,325,33000.000000
794,Harv,325,42000.000000
795,Lorianna,60,15000.000000
796,Hersh,180,33000.000000
797,Diahann,88,33000.000000
798,Yelena,180,50000.000000
799,Emmaline,88,37000.000000
800,Daffi,90,12000.000000
801,Janine,60,50000.000000
802,Sheilah,180,42000.000000
803,Lazaro,220,10000.000000
804,Earle,90,30000.000000
805,Fred,88,25000.000000
806,Almira,220,42000.000000
807,Wini,88,37000.000000
808,Emanuel,75,30000.000000
809,Obadias,220,10000.000000
810,Efrem,325,20000.000000
811,Susi,60,18000.000000
812,Maxy,60,15000.000000
813,Agnes,88,42000.000000
814,Obadiah,60,12000.000000
815,Lefty,220,50000.000000
816,Michele,88,42000.000000
817,Cynthia,88,25000.000000
818,Hyatt,220,20000.000000
819,Roch,220,33000.000000
820,Mag,88,12000.000000
821,Trevor,180,10000.000000
822,Jefferey,75,10000.000000
823,Tania,325,42000.000000
824,Mercie,90,42000.000000
825,Andrei,325,10000.000000
826,Yetta,120,25000.000000
827,Angeli,90,20000.000000
828,Norbert,90,20000.000000
829,Conan,180,20000.000000
830,Cale,60,50000.000000
831,Christina,60,37000.000000
832,Olivier,325,20000.000000
833,Oby,325,12000.000000
834,Chad,75,15000.000000
835,Adelle,60,10000.000000
836,Keene,60,25000.000000
837,Corrina,75,50000.000000
838,Hashim,88,50000.000000
839,Oralia,325,10000.000000
840,Wadsworth,325,30000.000000
841,Shelley,60,15000.000000
842,Irv,120,15000.000000
843,Grant,220,33000.000000
844,Bella,88,18000.000000
845,Yardley,60,50000.000000
846,Brendin,120,10000.000000
847,Estella,220,42000.000000
848,Rasia,60,37000.000000
849,Gibb,180,20000.000000
850,Amanda,325,37000.000000
851,Sidoney,220,20000.000000
852,Giacopo,90,18000.000000
853,Eve,180,12000.000000
854,Levon,120,25000.000000
855,Vassili,120,33000.000000
856,Henrieta,180,30000.000000
857,Devlen,120,37000.000000
858,Ophelie,120,37000.000000
859,Abramo,325,37000.000000
860,Fair,60,37000.000000
861,Pietrek,325,25000.000000
862,Holden,180,50000.000000
863,Cherish,90,42000.000000
864,Alonzo,325,12000.000000
865,Devonna,60,18000.000000
866,Rubi,60,18000.000000
867,Emmanuel,220,30000.000000
868,Trumaine,88,42000.000000
869,Malory,220,42000.000000
870,Pearla,220,33000.000000
871,Phelia,60,33000.000000
872,Madonna,120,10000.000000
873,Thomasa,90,18000.000000
874,Estella,325,20000.000000
875,Saw,60,15000.000000
876,Cecil,75,37000.000000
877,Mac,60,25000.000000
878,Ralf,120,12000.000000
879,Barbey,325,12000.000000
880,Josi,120,18000.000000
881,Kenna,120,25000.000000
882,Rina,75,25000.000000
883,Callida,88,33000.000000
884,Lona,220,30000.000000
885,Jan,90,18000.000000
886,Bailey,88,30000.000000
887,Guillermo,75,42000.000000
888,Katlin,88,25000.000000
889,Flo,325,42000.000000
890,Madel,180,12000.000000
891,Conant,75,37000.000000
892,Devland,60,10000.000000
893,Annamarie,120,20000.000000
894,Gabbie,220,42000.000000
895,Frasquito,90,15000.000000
896,Oberon,88,15000.000000
897,Gabriell,120,10000.000000
898,Ki,220,30000.000000
899,Martelle,120,15000.000000
900,Riccardo,90,42000.000000
901,Shaughn,180,50000.000000
902,Coral,120,18000.000000
903,Judas,120,10000.000000
904,Josiah,325,12000.000000
905,Freda,60,42000.000000
906,Lynn,325,37000.000000
907,Tabb,325,50000.000000
908,Brittany,180,18000.000000
909,Leo,88,42000.000000
910,Atlante,120,33000.000000
911,Maurie,180,50000.000000
912,Oren,120,20000.000000
913,Anetta,60,10000.000000
914,Curry,88,20000.000000
915,Tyrone,180,15000.000000
916,Saunder,180,37000.000000
917,Luis,60,12000.000000
918,Alysia,325,37000.000000
919,Calypso,90,12000.000000
920,Gretna,220,42000.000000
921,Odie,90,20000.000000
922,Wenda,90,12000.000000
923,Ezekiel,75,20000.000000
924,Orlan,60,25000.000000
925,Wittie,90,37000.000000
926,Abbie,90,18000.000000
927,Robinia,120,10000.000000
928,Hayden,180,30000.000000
929,Melody,60,20000.000000
930,Emory,325,37000.000000
931,Callie,75,10000.000000
932,Debby,180,18000.000000
933,Gui,325,20000.000000
